State,Participation_19,Participation_18,Participation_17,EBRW_19,EBRW_18,EBRW_17,Math_19,Math_18,Math_17,Total_19,Total_18,Total_17,Participation_mean,EBRW_mean,Math_mean,Total_mean
National,0.49,0.46,0.4,560.8,563.69,569.12,552.2,556.24,556.88,1113.08,1120.02,1126.1,0.45,564.54,555.1,1119.73
Alabama,0.07,0.06,0.05,583.0,595.0,593.0,560.0,571.0,572.0,1143.0,1166.0,1165.0,0.06,590.33,567.67,1158.0
Alaska,0.41,0.43,0.38,556.0,562.0,547.0,541.0,544.0,533.0,1097.0,1106.0,1080.0,0.41,555.0,539.33,1094.33
Arizona,0.31,0.29,0.3,569.0,577.0,563.0,565.0,572.0,553.0,1134.0,1149.0,1116.0,0.3,569.67,563.33,1133.0
Arkansas,0.06,0.05,0.03,582.0,592.0,614.0,559.0,576.0,594.0,1141.0,1169.0,1208.0,0.05,596.0,576.33,1172.67
California,0.63,0.6,0.53,534.0,540.0,531.0,531.0,536.0,524.0,1065.0,1076.0,1055.0,0.59,535.0,530.33,1065.33
Colorado,1.0,1.0,0.11,518.0,519.0,606.0,506.0,506.0,595.0,1024.0,1025.0,1201.0,0.7,547.67,535.67,1083.33
Connecticut,1.0,1.0,1.0,529.0,535.0,530.0,516.0,519.0,512.0,1046.0,1053.0,1041.0,1.0,531.33,515.67,1046.67
Delaware,1.0,1.0,1.0,499.0,505.0,503.0,486.0,492.0,492.0,985.0,998.0,996.0,1.0,502.33,490.0,993.0
District of Columbia,0.94,0.92,1.0,495.0,497.0,482.0,480.0,480.0,468.0,975.0,977.0,950.0,0.95,491.33,476.0,967.33
Florida,1.0,0.56,0.83,516.0,550.0,520.0,483.0,549.0,497.0,999.0,1099.0,1017.0,0.8,528.67,509.67,1038.33
Georgia,0.71,0.7,0.61,538.0,542.0,535.0,519.0,522.0,515.0,1058.0,1064.0,1050.0,0.67,538.33,518.67,1057.33
Hawaii,0.54,0.56,0.55,550.0,480.0,544.0,550.0,530.0,541.0,1100.0,1010.0,1085.0,0.55,524.67,540.33,1065.0
Idaho,1.0,1.0,0.93,505.0,508.0,513.0,488.0,493.0,493.0,993.0,1001.0,1005.0,0.98,508.67,491.33,999.67
Illinois,1.0,0.99,0.09,509.0,513.0,559.0,504.0,506.0,556.0,1013.0,1019.0,1115.0,0.69,527.0,522.0,1049.0
Indiana,0.66,0.63,0.63,543.0,542.0,542.0,537.0,532.0,532.0,1080.0,1074.0,1074.0,0.64,542.33,533.67,1076.0
Iowa,0.03,0.03,0.02,622.0,634.0,641.0,622.0,631.0,635.0,1244.0,1265.0,1275.0,0.03,632.33,629.33,1261.33
Kansas,0.04,0.04,0.04,618.0,633.0,632.0,623.0,631.0,628.0,1241.0,1265.0,1260.0,0.04,627.67,627.33,1255.33
Kentucky,0.04,0.04,0.04,620.0,630.0,631.0,612.0,618.0,616.0,1232.0,1248.0,1247.0,0.04,627.0,615.33,1242.33
Louisiana,0.05,0.04,0.04,610.0,615.0,611.0,591.0,595.0,586.0,1200.0,1210.0,1198.0,0.04,612.0,590.67,1202.67
Maine,0.99,0.99,0.95,512.0,512.0,513.0,502.0,501.0,499.0,1013.0,1013.0,1012.0,0.98,512.33,500.67,1012.67
Maryland,0.82,0.76,0.69,535.0,545.0,536.0,523.0,535.0,524.0,1058.0,1080.0,1060.0,0.76,538.67,527.33,1066.0
Massachusetts,0.81,0.8,0.76,559.0,562.0,555.0,561.0,563.0,551.0,1120.0,1125.0,1107.0,0.79,558.67,558.33,1117.33
Michigan,1.0,1.0,1.0,507.0,511.0,509.0,496.0,499.0,495.0,1003.0,1011.0,1005.0,1.0,509.0,496.67,1006.33
Minnesota,0.04,0.04,0.03,636.0,643.0,644.0,648.0,655.0,651.0,1284.0,1298.0,1295.0,0.04,641.0,651.33,1292.33
Mississippi,0.03,0.03,0.02,628.0,630.0,634.0,608.0,606.0,607.0,1237.0,1236.0,1242.0,0.03,630.67,607.0,1238.33
Missouri,0.04,0.04,0.03,622.0,633.0,640.0,615.0,629.0,631.0,1236.0,1262.0,1271.0,0.04,631.67,625.0,1256.33
Montana,0.09,0.1,0.1,603.0,606.0,605.0,596.0,592.0,591.0,1199.0,1198.0,1196.0,0.1,604.67,593.0,1197.67
Nebraska,0.03,0.03,0.03,628.0,629.0,629.0,631.0,623.0,625.0,1260.0,1252.0,1253.0,0.03,628.67,626.33,1255.0
Nevada,0.2,0.23,0.26,580.0,574.0,563.0,576.0,566.0,553.0,1156.0,1140.0,1116.0,0.23,572.33,565.0,1137.33
New Hampshire,0.95,0.96,0.96,533.0,535.0,532.0,526.0,528.0,520.0,1059.0,1063.0,1052.0,0.96,533.33,524.67,1058.0
New Jersey,0.82,0.82,0.7,544.0,547.0,530.0,545.0,547.0,526.0,1090.0,1094.0,1056.0,0.78,540.33,539.33,1080.0
New Mexico,0.18,0.16,0.11,543.0,552.0,577.0,530.0,540.0,561.0,1073.0,1093.0,1138.0,0.15,557.33,543.67,1101.33
New York,0.79,0.79,0.67,531.0,534.0,528.0,533.0,534.0,523.0,1064.0,1068.0,1052.0,0.75,531.0,530.0,1061.33
North Carolina,0.51,0.52,0.49,554.0,554.0,546.0,546.0,543.0,535.0,1100.0,1098.0,1081.0,0.51,551.33,541.33,1093.0
North Dakota,0.02,0.02,0.02,627.0,640.0,635.0,636.0,643.0,621.0,1263.0,1283.0,1256.0,0.02,634.0,633.33,1267.33
Ohio,0.19,0.18,0.12,550.0,552.0,578.0,548.0,547.0,570.0,1097.0,1099.0,1149.0,0.16,560.0,555.0,1115.0
Oklahoma,0.22,0.08,0.07,490.0,541.0,530.0,472.0,521.0,517.0,963.0,1062.0,1047.0,0.12,520.33,503.33,1024.0
Oregon,0.51,0.48,0.43,562.0,564.0,560.0,550.0,553.0,548.0,1112.0,1117.0,1108.0,0.47,562.0,550.33,1112.33
Pennsylvania,0.7,0.7,0.65,545.0,547.0,540.0,537.0,539.0,531.0,1082.0,1086.0,1071.0,0.68,544.0,535.67,1079.67
Rhode Island,1.0,0.97,0.71,503.0,513.0,539.0,492.0,505.0,524.0,995.0,1018.0,1062.0,0.89,518.33,507.0,1025.0
South Carolina,0.68,0.55,0.5,526.0,547.0,543.0,504.0,523.0,521.0,1030.0,1070.0,1064.0,0.58,538.67,516.0,1054.67
South Dakota,0.03,0.03,0.03,633.0,622.0,612.0,635.0,618.0,603.0,1268.0,1240.0,1216.0,0.03,622.33,618.67,1241.33
Tennessee,0.07,0.06,0.05,618.0,624.0,623.0,602.0,607.0,604.0,1220.0,1231.0,1228.0,0.06,621.67,604.33,1226.33
Texas,0.68,0.66,0.62,515.0,520.0,513.0,507.0,512.0,507.0,1022.0,1032.0,1020.0,0.65,516.0,508.67,1024.67
Utah,0.04,0.04,0.03,614.0,480.0,624.0,615.0,530.0,614.0,1230.0,1010.0,1238.0,0.04,572.67,586.33,1159.33
Vermont,0.66,0.64,0.6,560.0,565.0,562.0,546.0,554.0,551.0,1106.0,1120.0,1114.0,0.63,562.33,550.33,1113.33
Virginia,0.68,0.68,0.65,567.0,567.0,561.0,551.0,550.0,541.0,1119.0,1117.0,1102.0,0.67,565.0,547.33,1112.67
Washington,0.7,0.69,0.64,539.0,543.0,541.0,535.0,538.0,534.0,1074.0,1081.0,1075.0,0.68,541.0,535.67,1076.67
West Virginia,0.99,0.28,0.14,483.0,513.0,558.0,460.0,486.0,528.0,943.0,999.0,1086.0,0.47,518.0,491.33,1009.33
Wisconsin,0.03,0.03,0.03,635.0,641.0,642.0,648.0,653.0,649.0,1283.0,1294.0,1291.0,0.03,639.33,650.0,1289.33
Wyoming,0.03,0.03,0.03,623.0,633.0,626.0,615.0,625.0,604.0,1238.0,1257.0,1230.0,0.03,627.33,614.67,1241.67
